RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
13108,Ontario,California,143,307500,297200,281e3,281100,270800,256e3,239e3,226200,222800,223700,218200,210400,202100,191500,187700,179600,180500,177600,183200,186300,191800,192500,197200,201e3,205900,207400,209800,208900,207e3,205900,211300,212100,209500,207100,205100,201900,199900,195700,198300,195700,198500,195600,201200,201300,204700,203900,208600,205400,198200,196900,199600,200800,199500,203300,213300,216500,222200,231300,238300,243500,241800,244100,246100,262900,271400,277400,271800,273600,283400,285500,292500,293400,291600,293200,290200,296700,298700,307200,312e3,311300,306800,306300,308600,315400,320100,328100,328600,330300,327400,351700,347500,353200,333200,343300,345900,344500,342800,338600,344100,343900,347700,344200,357800,358300,362700,351e3,347500,343300,353500,349800,365100,364500,373800,369200,369600,377500,380900,386200,408400,424200,437e3,428700,434e3,433400,433500,427900,433300,438200,434400,421800,,
17539,Columbus,Georgia,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85900,86400,86700,87500,88100,94200,95400,94e3,84800,83100,84800,90300,93600,90100,93200,91600,95300,100600,96900,93300,82300,83400,90200,88900,91400,87600,87500,82800,79800,79700,86800,90800,94700,93900,92400,96400,95400,91900,87800,89200,91800,92700,91600,102700,108200,109300,101200,97800,95600,100200,102e3,107800,107400,107e3,103300,107e3,106500,111300,108600,105700,105100,101500,105500,111900,110100,,
4054,Charleston,South Carolina,145,208100,211300,218100,226200,223100,216200,215500,224600,219800,217300,205200,217200,213700,209800,198600,206e3,205500,206800,198100,200400,198900,205200,217200,230600,226700,243700,23e4,235600,213100,219400,219900,216900,225e3,218700,217500,247900,238400,237600,190800,198600,195e3,191600,189800,196e3,202400,21e4,210300,205300,195500,184700,201400,214800,234400,228200,221e3,211300,212e3,219400,221700,216700,215400,213900,217600,221200,228600,232400,235200,244700,239300,234800,221800,228700,234600,236300,237400,234100,237500,234900,236300,234600,250400,246100,252400,249400,251100,249700,246300,252200,250600,250200,249600,254800,258300,264700,264200,263700,264900,269100,270900,265600,257700,259500,265700,272600,273600,274500,276100,276700,270700,272700,269400,277800,277600,280900,280100,283700,283600,288500,301400,315100,314e3,306400,295900,301300,297600,302300,299900,301900,291800,291300,294600,
18847,Kissimmee,Florida,146,213e3,208600,199200,186e3,173400,168800,164800,157400,154300,146e3,146500,137700,133700,122500,113200,106e3,103400,106200,106700,103700,105500,103600,101200,97400,98e3,1e5,96100,92500,89400,90400,89700,88600,86800,88700,87600,87e3,85900,96100,95900,95900,87900,87800,86700,90200,93800,97e3,96300,97200,102500,104500,103e3,100500,102300,103900,104100,102300,106400,110100,116600,118500,117200,119300,119900,124300,125500,127900,128500,126500,128900,131300,133400,135400,135500,134e3,133e3,133300,135500,132100,135100,137400,139100,137800,135800,137300,139400,141600,145700,147900,149800,151500,150500,154100,155300,156e3,158900,161e3,165700,165e3,164900,166900,168700,171600,171400,171300,173300,176e3,180500,181100,181300,184100,185100,186700,185400,187e3,192700,194700,194300,192900,190900,196200,200800,207700,207300,204100,202300,208200,211500,217700,222700,229400,233300,
10843,Clarksville,Tennessee,147,118300,114400,117700,118600,118100,112100,112100,108800,109900,113600,122200,126200,125800,122600,126800,126e3,124300,119800,119600,119500,118400,119600,123600,123400,123e3,121300,124100,121300,119900,116900,115500,113200,114500,121200,132900,134900,130500,120400,119e3,121500,123700,124800,125800,124500,125200,128400,135700,134800,133900,129400,131e3,128200,126100,127500,128600,129700,128700,131900,131700,13e4,124200,123700,127e3,128100,132e3,126300,123300,115600,116200,117800,120400,122e3,123300,125200,124900,125400,124200,126200,125900,126800,126400,126700,131600,128900,129500,125500,127500,127700,127800,127300,128e3,127400,125100,132100,133700,137400,130800,13e4,133e3,131700,136700,138600,143700,144500,144900,145500,143900,144200,143300,143100,141900,140500,140800,141100,143200,144600,143800,150800,154700,159700,156800,155500,155500,156700,157400,157800,157300,157300,155600,161300,164300,
37837,Chattanooga,Tennessee,148,109700,103100,106700,104300,104900,99300,103700,108e3,111700,103900,98500,97200,106500,108800,107100,105800,106600,106800,103e3,105300,114e3,107700,110300,99500,105100,101600,106200,107400,102100,94600,90600,97900,111900,121400,115e3,109400,103e3,107300,107700,108400,109500,106800,109300,102400,96900,92e3,99400,109600,114500,112700,105500,107600,109600,112800,108900,110600,116900,118400,112100,101200,102e3,106600,118800,119100,122500,124e3,125400,124800,123600,129100,126e3,124800,115600,113900,112300,119300,125e3,127700,124500,124900,132300,138100,143300,139900,141100,140100,140500,137900,134500,134300,139600,139300,138e3,132300,135300,137200,140800,141600,147600,148900,149500,145300,147300,154200,158300,158100,157100,159400,164400,166e3,162800,164600,163500,168600,168200,168100,164200,164500,172600,174800,176500,163e3,157300,151200,153500,153800,153300,158200,164900,165300,176500,
47958,Tempe,Arizona,149,216900,213800,213200,218e3,233700,240100,229e3,215200,214300,218700,212200,190700,183100,166700,160900,154100,172200,185600,191900,185400,177800,163200,160800,153700,158100,147900,147e3,148400,163600,169900,160900,146300,141300,136500,131700,118700,121600,116400,117800,119500,126700,143400,142e3,165300,179600,178e3,149300,113300,114e3,111300,121400,129100,141e3,134e3,130400,127400,139e3,137600,138400,135700,140600,144400,152500,159600,165300,166800,161300,156500,152e3,153e3,163300,157300,158500,142100,148600,153500,162600,166700,167600,184200,185e3,184300,174300,179700,182200,181400,180500,180700,184200,177100,178100,177600,196600,200600,204400,197600,198400,199100,200300,202400,204300,207100,207800,215300,225800,227500,221100,211500,212200,215100,220200,221700,234e3,233600,228100,222e3,227200,24e4,241e3,240800,241600,235300,233e3,235100,236100,232200,227100,239200,245700,247200,234e3,232800
19523,Murfreesboro,Tennessee,150,143700,143500,140500,137200,133500,134300,137400,141100,143100,141900,139900,137500,136100,139400,138900,139300,134500,134400,131400,132800,131200,133600,136200,139300,142800,141200,140100,138e3,134900,135100,135e3,136200,132100,131900,136e3,144700,145400,142700,133600,128500,128400,130600,133400,133500,132700,132200,132200,134600,133800,135e3,134300,135300,134100,136100,138500,140300,141200,142100,144800,142700,142700,137900,139900,139e3,142e3,142300,144100,145900,146800,147300,144200,144600,145500,147900,149300,150400,15e4,147100,148200,150100,156800,156900,159900,160800,162900,162300,163900,166100,166300,166900,167400,168700,163900,167500,175700,181300,180900,176200,175100,176900,178900,184700,185500,188e3,186100,183800,186500,195e3,201400,206400,204100,207100,206900,207500,210200,211300,215400,216300,217100,220900,222800,227600,228100,231800,234400,238100,234e3,232300,226500,228500,232500,
40492,Rancho Cucamonga,California,151,402900,394800,378800,375700,357900,360400,342800,343100,323400,323800,316300,322300,314600,311e3,296600,297600,290300,296700,294700,300200,305300,317300,331e3,325600,315300,301500,299500,300900,297300,304600,301400,296800,296100,301500,300800,302600,297400,308e3,291800,290300,283200,285500,286900,281400,285e3,281100,285e3,276900,275800,282700,292600,302e3,298400,309100,309600,319400,317400,323700,328800,340500,348300,347100,350100,380200,394300,396800,382600,388100,392300,387600,391900,392600,397400,392200,397900,405200,402400,4e5,391100,391600,397800,397500,402700,407700,415600,420300,411400,406e3,401600,405700,419800,432200,434400,424e3,421400,420600,425600,429e3,436900,436600,443200,446700,443800,427400,421100,427700,424200,421300,414100,428e3,428500,437100,439400,445700,441400,447400,451100,477100,484900,497700,492e3,497900,506900,514900,512900,510800,509400,512700,510800,508e3,511600,514e3
5424,Killeen,Texas,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103e3,100400,100700,99900,104100,104300,112100,111700,117400,110700,108100,103400,109900,111100,113300,109300,113400,114e3,112600,112600,11e4,112900,112400,109500,106800,107900,110800,112900,114e3,116300,118700,116500,118900,117200,119e3,118200,117300,118800,116800,122100,117400,117400,115600,119800,127700,131200,133100,128200,121900,122200,122500,128700,13e4,128900,125900,126500,
